community_id,is_filter_hashtag,keyword
business,false,"#mastoart, #Midjourney, #MidjourneyAI, #MidjourneyArt, #DigitalArt, #AIArt, #furry, #furryart, porn, porno, pornography, #Coinbase, Etsy, eBay, #NFT, #Bitcoin, #cryptotrading, #Crypto, crypto, bitcoin, nft, #makemoneyonyoutube, Cryptocurrencies"
performing-arts,true,"ManholeCoverMonday, pop, DnB, house, dancemusic, dubstep, MusicNews"
performing-arts,false,""
academia-research,true,1dollaroffer
academia-research,false,"welcome, hiring"
workers-rights,true,""
workers-rights,false,"Electric Cars, pets"
immigrants-rights,true,""
immigrants-rights,false,"stayintheirplace, maga, AI"
creative-arts,true,"writing, poem, poetry, writingcommunity"
creative-arts,false,writing
chemistry,true,""
chemistry,false,"cryptocurrency, #Midjourney, #MidjourneyAI, #MidjourneyArt, #DigitalArt, #AIArt, #furry, #furryart, porn, porno, pornography, #Coinbase, Etsy, eBay, #NFT, #Bitcoin, #cryptotrading, #Crypto, bloomscrolling"
biodiversity-rewilding,true,""
biodiversity-rewilding,false,"Food , FoodSecurity"
markets-finance,true,lifestyle
markets-finance,false,"#mastoart, #Midjourney, #MidjourneyAI, #MidjourneyArt, #DigitalArt, #AIArt, #furry, #furryart, porn, porno, pornography, #Coinbase, Etsy, eBay, #NFT, #Bitcoin, #cryptotrading, #Crypto, bitcoin, crypto, nft"
humour,true,""
humour,false,"FediArtist, gaming, gamer, revenge, episodes"
democracy-human-rights,true,"palestine, Palestine, warcrimes, WarCrimes"
democracy-human-rights,false,"dogs, pets"
climate-change,true,PlaneAlert
climate-change,false,"climate, iran, OTCStocks, art  , artist , abstract  , abstractart"
engineering,true,Construction
engineering,false,"architecture, software, BlackSTEMAIArt, dyson, job"
gaming,true,PokeFur
gaming,false,""
mathematics,true,"numbword, calcule"
mathematics,false,"knitting , crochet, art, Nature, architecture, LGBTQIA+, programming, deeplearning, machinelearning, visualart"
us-sport,true,nonfootballtweet
us-sport,false,immaculategrid
mental-health-wellbeing,true,"weapons, caturday"
mental-health-wellbeing,false,"literal house, stinkin' cute, astronomy, phishing, attorney, mcdonalds, possessionedemoniaca, BG3, uspol, climate, bookmark"
philosophy,true,""
philosophy,false,"heatwave, weather, pets, bloomscrolling"
technology,true,"MastoArt, logo"
technology,false,"astronomer, discogs, Dental Hygienist, ModelY, GreatAusPods, nijijourney, midjourneyaiart, MidJourneyArt, generativeai, midjourneycommunity, MidjourneyAI , hackernews, diablo, Letters of Paul, LGBTQ, Hiring, criptomoedas, youtube, government"
tv-radio,true,games
tv-radio,false,""
healthcare,true,"guns, ruralbusiness, BlackJack, PlaneAlert, ChineseVirus"
healthcare,false,"dog, cybersecurity, medgadget"
