username,domain,name,slug,is_primary
realgnomidad,newsmast.social,Democracy & Human Rights,democracy_human_rights,false
realgnomidad,newsmast.social,"Hunger, Disease & Water",hunger_disease_water,false
realgnomidad,newsmast.social,Law & Justice,law_justice,false
realgnomidad,newsmast.social,Politics,politics,false
realgnomidad,newsmast.social,Poverty & Inequality,poverty_inequality,false
realgnomidad,newsmast.social,US Politics,us_politics,false
realgnomidad,newsmast.social,Government & Policy,government_policy,true
aloppnow,cunnin.me,AI,ai,false
aloppnow,cunnin.me,Books & Literature,books_literature,false
aloppnow,cunnin.me,Breaking News,breaking_news,false
aloppnow,cunnin.me,Climate change,climate_change,false
aloppnow,cunnin.me,Environment,environment,false
aloppnow,cunnin.me,Gaming,gaming,false
aloppnow,cunnin.me,Music,music,false
aloppnow,cunnin.me,Programming,programming,false
aloppnow,cunnin.me,Science,science,false
aloppnow,cunnin.me,Space,space,false
aloppnow,cunnin.me,US Politics,us_politics,false
aloppnow,cunnin.me,Visual Arts,visual_arts,false
aloppnow,cunnin.me,Technology,technology,true
notabird,mstdn.social,Government & Policy,government_policy,false
notabird,mstdn.social,Law & Justice,law_justice,false
notabird,mstdn.social,Journalism & Comment,news_comment_data,false
notabird,mstdn.social,Programming,programming,false
notabird,mstdn.social,Science,science,false
notabird,mstdn.social,Technology,technology,false
notabird,mstdn.social,US Politics,us_politics,false
notabird,mstdn.social,Breaking News,breaking_news,true
bibliotech,mastodon.social,Activism & Civil Rights,activism_civil_rights,false
bibliotech,mastodon.social,Black Voices,black_voices,false
bibliotech,mastodon.social,Books & Literature,books_literature,false
bibliotech,mastodon.social,Disabled Voices,disabled_voices,false
bibliotech,mastodon.social,Gaming,gaming,false
bibliotech,mastodon.social,History,history,false
bibliotech,mastodon.social,LGBTQ+,lgbtq,false
bibliotech,mastodon.social,Movies,movies,false
bibliotech,mastodon.social,Philosophy,philosophy,false
bibliotech,mastodon.social,Social Media,social_media,false
bibliotech,mastodon.social,Technology,technology,false
bibliotech,mastodon.social,TV & Radio,tv_radio,false
bibliotech,mastodon.social,Women’s Voices,women_voices,false
bibliotech,mastodon.social,Breaking News,breaking_news,true
amiya_rbehera,mas.to,Democracy & Human Rights,democracy_human_rights,false
amiya_rbehera,mas.to,"Hunger, Disease & Water",hunger_disease_water,false
amiya_rbehera,mas.to,Politics,politics,false
amiya_rbehera,mas.to,Poverty & Inequality,poverty_inequality,false
amiya_rbehera,mas.to,Academia & Research,academia_research,true
Roundtrip,federate.social,Architecture & Design,architecture_design,false
Roundtrip,federate.social,Books & Literature,books_literature,false
Roundtrip,federate.social,Breaking News,breaking_news,false
Roundtrip,federate.social,Government & Policy,government_policy,false
Roundtrip,federate.social,Law & Justice,law_justice,false
Roundtrip,federate.social,Movies,movies,false
Roundtrip,federate.social,Journalism & Comment,news_comment_data,false
Roundtrip,federate.social,Science,science,false
Roundtrip,federate.social,Space,space,false
Roundtrip,federate.social,Technology,technology,false
Roundtrip,federate.social,TV & Radio,tv_radio,false
