#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
rebelbase.site,suspend,false,false,Oliphant Tier 3,false
ryona.agency,suspend,false,false,Oliphant Tier 3,false
sad.cab,suspend,false,false,Oliphant Tier 3,false
schwartzwelt.xyz,suspend,false,false,Oliphant Tier 3,false
seal.cafe,suspend,false,false,Oliphant Tier 3,false
shaw.app,suspend,false,false,Oliphant Tier 3,false
shigusegubu.club,suspend,false,false,Oliphant Tier 3,false
shitpost.cloud,suspend,false,false,Oliphant Tier 3,false
shortstacksran.ch,suspend,false,false,Oliphant Tier 3,false
silliness.observer,suspend,false,false,Oliphant Tier 3,false
skinheads.eu,suspend,false,false,Oliphant Tier 3,false
skinheads.io,suspend,false,false,Oliphant Tier 3,false
skinheads.social,suspend,false,false,Oliphant Tier 3,false
skinheads.uk,suspend,false,false,Oliphant Tier 3,false
skippers-bin.com,suspend,false,false,Oliphant Tier 3,false
skyshanty.xyz,suspend,false,false,Oliphant Tier 3,false
slash.cl,suspend,false,false,Oliphant Tier 3,false
sleepy.cafe,suspend,false,false,Oliphant Tier 3,false
smuglo.li,suspend,false,false,Oliphant Tier 3,false
sneed.social,suspend,false,false,Oliphant Tier 3,false
sonichu.com,suspend,false,false,Oliphant Tier 3,false
spinster.xyz,suspend,false,false,Oliphant Tier 3,false
springbo.cc,suspend,false,false,Oliphant Tier 3,false
artisan.chat,suspend,false,false,Oliphant Tier 3,false
taihou.website,suspend,false,false,Oliphant Tier 3,false
tastingtraffic.net,suspend,false,false,Oliphant Tier 3,false
teci.world,suspend,false,false,Oliphant Tier 3,false
theapex.social,suspend,false,false,Oliphant Tier 3,false
thechimp.zone,suspend,false,false,Oliphant Tier 3,false
thenobody.club,suspend,false,false,Oliphant Tier 3,false
thepostearthdestination.com,suspend,false,false,Oliphant Tier 3,false
tkammer.de,suspend,false,false,Oliphant Tier 3,false
trumpislovetrumpis.life,suspend,false,false,Oliphant Tier 3,false
truthsocial.co.in,suspend,false,false,Oliphant Tier 3,false
usualsuspects.lol,suspend,false,false,Oliphant Tier 3,false
varishangout.net,suspend,false,false,Oliphant Tier 3,false
vtuberfan.social,suspend,false,false,Oliphant Tier 3,false
wolfgirl.bar,suspend,false,false,Oliphant Tier 3,false
xn--p1abe3d.xn--80asehdb,suspend,false,false,Oliphant Tier 3,false
yggdrasil.social,suspend,false,false,Oliphant Tier 3,false
youjo.love,suspend,false,false,Oliphant Tier 3,false
awootism.club,suspend,false,false,Oliphant Tier 3,false
catboi.party,suspend,false,false,Oliphant Tier 3,false
catgirl.land,suspend,false,false,Oliphant Tier 3,false
cliterati.club,suspend,false,false,Oliphant Tier 3,false
clube.social,suspend,false,false,Oliphant Tier 3,false
cock.fish,suspend,false,false,Oliphant Tier 3,false
cock.li,suspend,false,false,Oliphant Tier 3,false
cunny.gay,suspend,false,false,Oliphant Tier 3,false
ating.press,suspend,false,false,Oliphant Tier 3,false
f.ckpg.space,suspend,false,false,Oliphant Tier 3,false
beaware.live,suspend,false,false,Oliphant Tier 3,false
fedicy.allowed.org,suspend,false,false,Oliphant Tier 3,false
feline.rodeo,suspend,false,false,Oliphant Tier 3,false
foxarmy.org,suspend,false,false,Oliphant Tier 3,false
furry.lgbt,suspend,false,false,Oliphant Tier 3,false
genitalia.observer,suspend,false,false,Oliphant Tier 3,false
horny.enby.space,suspend,false,false,Oliphant Tier 3,false
horny.house,suspend,false,false,Oliphant Tier 3,false
beetoons.tv,suspend,false,false,Oliphant Tier 3,false
lets.saynoto.lgbt,suspend,false,false,Oliphant Tier 3,false
bkcastle.net,suspend,false,false,Oliphant Tier 3,false
mstdn.foxfam.club,suspend,false,false,Oliphant Tier 3,false
pawlicker.ddns.net,suspend,false,false,Oliphant Tier 3,false
bruh.social,suspend,false,false,Oliphant Tier 3,false
pl.info.natehiggers.online,suspend,false,false,Oliphant Tier 3,false
rape.lol,suspend,false,false,Oliphant Tier 3,false
raplst.town,suspend,false,false,Oliphant Tier 3,false
rawr-xd.club,suspend,false,false,Oliphant Tier 3,false
shitpisscum.mooo.com,suspend,false,false,Oliphant Tier 3,false
